2011,Thanks for the lovely 3 days at Ballyglass. We have gad a great timme in a lovely cottage. We have never stayed in a cottage with such brilliant information before we arrived. Hope the cottage letting goes well
09/11/2011,Thank you for a wonderful stay in Ballyglass Cottage. You have resorted the building beautiful with so many of the original features. It's peace and tranquillity welcome you home after a busty day out. We ill definitely be back!
21/10/2011,"We had and amaxing stay, the cottahe is stunnin and we will most certainly be back again!"
29/10/2011,"We've had a great week here in Ballyglass Cottage. Thank you very much for providing us with a wonderfully cosy abode. Well done with the restoration, it's beautiful. Hope to be back again in the future."
11/03/2011,Well done guys - it cound be more comfortable and welcoming. I hope you reap the rewards of your labour and love.
16/1/2011,"Lovely holiday, welcome break. Peace and quiet after festive season. Set us up for the new year. Many thanks for making us feel welcome. Hope to return very soon."
15/3/2012,"Such a lovely place to stay, very friendly neighbours. Cottage is made feel just like home. Would love to rent pernanently. Thanks for everthing."
13/4/2012,This is our second visit to this beautiful cottage and we will be back again. Ballyglass Thatched Cottage offers everything you'd expect in a quiet country retreat.
28/5/2012,The cottage is so peaceful and well done. Thank you for a wonderful stay. The neighbours were friendly and helpful. Hope to be back soon.
06/02/2012,"Beautiful cottage, very well situated for a peaceful break, well equiped for all your needs, pity the weather didn't match but ye can't control the weather. You made us feel very welcome and we hope to return."
06/09/2012,We’ve spent 2 wonderful weeks in Ireland. You made us feel very welcome in your lovely cottage. Even the weather wasn't quite as bad as expected. Thank you so much.
23/6/2012,"Beautifuly cottage, wonderful holiday, what more could you ask for? Had and amzing time, stunning countryside, lovely cottage. Thank you. A brilliant week!! Weather was on our side and I will be returning for many more weeks! :)"
07/07/2012,We had and amazing stay and the bedrooms we lovely. Thanks for providing a lovely cottage which was so well provided for with towels etc. Hopefully we can have another chance to holiday here. 
07/07/2012,"Thank you for our 2 week stay in this lovely cottage surrounded millions of sheep Maaaaaah. The chance of ran was great but with great luck we enjoyed the Irish sun. And the surroundings here at the cottage is totally quiet, we loved that very much."
27/7/2012,Thanks Niall & Ray. Had a nice stay here. Hoping to return again.
08/04/2012,Thanks you for the use of your lovely cottage. We had a lovely time visiting the surrounding countryside and seeing family. The cottage is ideally situated and we enjoyed our visits from Ray.
